Test Epoch: 0, Accuracy: 57.290, Precision: 59.515, Recall: 57.290, F1: 56.505, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 65.610, Precision: 68.039, Recall: 65.610, F1: 65.006, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 73.630, Precision: 75.444, Recall: 73.630, F1: 73.206, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 78.140, Precision: 78.810, Recall: 78.140, F1: 78.071, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 81.420, Precision: 81.645, Recall: 81.420, F1: 81.181, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 82.130, Precision: 83.402, Recall: 82.130, F1: 82.287, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 83.420, Precision: 84.033, Recall: 83.420, F1: 83.319, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 84.580, Precision: 84.964, Recall: 84.580, F1: 84.623, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 85.490, Precision: 86.089, Recall: 85.490, F1: 85.603, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 85.290, Precision: 85.568, Recall: 85.290, F1: 85.296, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 86.420, Precision: 86.485, Recall: 86.420, F1: 86.355, L_1: 34693, U_1: 15307, L_2: 35493, U_2: 14507
Test Epoch: 11, Accuracy: 86.390, Precision: 86.305, Recall: 86.390, F1: 86.261, L_1: 35964, U_1: 14036, L_2: 35691, U_2: 14309
Test Epoch: 12, Accuracy: 85.690, Precision: 85.606, Recall: 85.690, F1: 85.472, L_1: 35260, U_1: 14740, L_2: 35393, U_2: 14607
Test Epoch: 13, Accuracy: 86.290, Precision: 86.266, Recall: 86.290, F1: 86.096, L_1: 35347, U_1: 14653, L_2: 35271, U_2: 14729
Test Epoch: 14, Accuracy: 86.330, Precision: 86.369, Recall: 86.330, F1: 86.167, L_1: 35647, U_1: 14353, L_2: 35294, U_2: 14706
Test Epoch: 15, Accuracy: 86.570, Precision: 86.666, Recall: 86.570, F1: 86.413, L_1: 35851, U_1: 14149, L_2: 35621, U_2: 14379
Test Epoch: 16, Accuracy: 87.050, Precision: 87.021, Recall: 87.050, F1: 86.839, L_1: 35489, U_1: 14511, L_2: 35482, U_2: 14518
Test Epoch: 17, Accuracy: 86.950, Precision: 86.896, Recall: 86.950, F1: 86.669, L_1: 35876, U_1: 14124, L_2: 35756, U_2: 14244
Test Epoch: 18, Accuracy: 87.220, Precision: 87.142, Recall: 87.220, F1: 87.062, L_1: 35452, U_1: 14548, L_2: 35740, U_2: 14260
Test Epoch: 19, Accuracy: 86.840, Precision: 86.934, Recall: 86.840, F1: 86.684, L_1: 35662, U_1: 14338, L_2: 35920, U_2: 14080
Test Epoch: 20, Accuracy: 87.570, Precision: 87.544, Recall: 87.570, F1: 87.379, L_1: 35908, U_1: 14092, L_2: 35840, U_2: 14160
