Test Epoch: 0, Accuracy: 21.790, Precision: 28.155, Recall: 21.790, F1: 14.841, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 27.730, Precision: 38.355, Recall: 27.730, F1: 21.885, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 30.960, Precision: 33.711, Recall: 30.960, F1: 28.304, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 34.790, Precision: 37.392, Recall: 34.790, F1: 31.525, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 34.070, Precision: 37.554, Recall: 34.070, F1: 30.860, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 35.160, Precision: 38.481, Recall: 35.160, F1: 31.764, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 35.880, Precision: 36.582, Recall: 35.880, F1: 34.285, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 37.150, Precision: 38.331, Recall: 37.150, F1: 33.443, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 39.660, Precision: 43.265, Recall: 39.660, F1: 39.906, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 39.410, Precision: 39.684, Recall: 39.410, F1: 36.117, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 41.490, Precision: 39.260, Recall: 41.490, F1: 37.337, L_1: 13193, U_1: 36807, L_2: 14204, U_2: 35796
Test Epoch: 11, Accuracy: 41.020, Precision: 41.428, Recall: 41.020, F1: 38.952, L_1: 16810, U_1: 33190, L_2: 15273, U_2: 34727
Test Epoch: 12, Accuracy: 43.150, Precision: 43.193, Recall: 43.150, F1: 41.025, L_1: 19796, U_1: 30204, L_2: 18562, U_2: 31438
Test Epoch: 13, Accuracy: 42.370, Precision: 43.366, Recall: 42.370, F1: 39.887, L_1: 22028, U_1: 27972, L_2: 20659, U_2: 29341
Test Epoch: 14, Accuracy: 44.830, Precision: 43.066, Recall: 44.830, F1: 42.026, L_1: 22502, U_1: 27498, L_2: 22263, U_2: 27737
Test Epoch: 15, Accuracy: 46.040, Precision: 45.144, Recall: 46.040, F1: 42.850, L_1: 24139, U_1: 25861, L_2: 24951, U_2: 25049
Test Epoch: 16, Accuracy: 46.770, Precision: 47.605, Recall: 46.770, F1: 44.303, L_1: 25533, U_1: 24467, L_2: 25729, U_2: 24271
Test Epoch: 17, Accuracy: 48.250, Precision: 48.247, Recall: 48.250, F1: 45.283, L_1: 26063, U_1: 23937, L_2: 26949, U_2: 23051
Test Epoch: 18, Accuracy: 43.300, Precision: 48.090, Recall: 43.300, F1: 37.119, L_1: 27258, U_1: 22742, L_2: 26724, U_2: 23276
Test Epoch: 19, Accuracy: 42.080, Precision: 46.470, Recall: 42.080, F1: 34.508, L_1: 27786, U_1: 22214, L_2: 27630, U_2: 22370
Test Epoch: 20, Accuracy: 42.000, Precision: 50.478, Recall: 42.000, F1: 32.366, L_1: 28614, U_1: 21386, L_2: 27620, U_2: 22380
