Test Epoch: 0, Accuracy: 13.610, Precision: 11.930, Recall: 13.610, F1: 9.744, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 19.240, Precision: 18.525, Recall: 19.240, F1: 15.827, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 23.800, Precision: 25.777, Recall: 23.800, F1: 20.711, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 27.920, Precision: 26.969, Recall: 27.920, F1: 24.084, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 32.590, Precision: 33.814, Recall: 32.590, F1: 30.020, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 34.140, Precision: 37.392, Recall: 34.140, F1: 32.301, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 38.350, Precision: 40.920, Recall: 38.350, F1: 36.904, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 41.310, Precision: 42.308, Recall: 41.310, F1: 39.547, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 43.930, Precision: 45.326, Recall: 43.930, F1: 42.420, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 46.260, Precision: 48.094, Recall: 46.260, F1: 45.128, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 48.250, Precision: 48.139, Recall: 48.250, F1: 46.551, L_1: 20117, U_1: 29883, L_2: 20779, U_2: 29221
Test Epoch: 11, Accuracy: 49.420, Precision: 50.094, Recall: 49.420, F1: 48.062, L_1: 21868, U_1: 28132, L_2: 22010, U_2: 27990
Test Epoch: 12, Accuracy: 50.380, Precision: 51.204, Recall: 50.380, F1: 49.018, L_1: 22733, U_1: 27267, L_2: 22633, U_2: 27367
Test Epoch: 13, Accuracy: 47.850, Precision: 52.471, Recall: 47.850, F1: 47.423, L_1: 22657, U_1: 27343, L_2: 22716, U_2: 27284
Test Epoch: 14, Accuracy: 51.930, Precision: 52.478, Recall: 51.930, F1: 50.458, L_1: 22860, U_1: 27140, L_2: 21361, U_2: 28639
Test Epoch: 15, Accuracy: 53.380, Precision: 54.093, Recall: 53.380, F1: 52.231, L_1: 22633, U_1: 27367, L_2: 22979, U_2: 27021
Test Epoch: 16, Accuracy: 54.030, Precision: 54.354, Recall: 54.030, F1: 52.702, L_1: 23153, U_1: 26847, L_2: 22734, U_2: 27266
Test Epoch: 17, Accuracy: 54.900, Precision: 55.429, Recall: 54.900, F1: 53.622, L_1: 22879, U_1: 27121, L_2: 22972, U_2: 27028
Test Epoch: 18, Accuracy: 55.650, Precision: 55.772, Recall: 55.650, F1: 54.385, L_1: 22830, U_1: 27170, L_2: 23115, U_2: 26885
Test Epoch: 19, Accuracy: 56.140, Precision: 56.487, Recall: 56.140, F1: 54.899, L_1: 23059, U_1: 26941, L_2: 22866, U_2: 27134
Test Epoch: 20, Accuracy: 56.770, Precision: 57.766, Recall: 56.770, F1: 55.712, L_1: 22997, U_1: 27003, L_2: 22909, U_2: 27091
Test Epoch: 21, Accuracy: 57.000, Precision: 57.437, Recall: 57.000, F1: 55.882, L_1: 23075, U_1: 26925, L_2: 23061, U_2: 26939
Test Epoch: 22, Accuracy: 58.090, Precision: 59.045, Recall: 58.090, F1: 57.099, L_1: 22802, U_1: 27198, L_2: 23009, U_2: 26991
Test Epoch: 23, Accuracy: 58.200, Precision: 59.126, Recall: 58.200, F1: 57.177, L_1: 23053, U_1: 26947, L_2: 22964, U_2: 27036
Test Epoch: 24, Accuracy: 59.130, Precision: 60.060, Recall: 59.130, F1: 58.222, L_1: 22931, U_1: 27069, L_2: 22915, U_2: 27085
Test Epoch: 25, Accuracy: 59.960, Precision: 60.409, Recall: 59.960, F1: 58.869, L_1: 23148, U_1: 26852, L_2: 23083, U_2: 26917
Test Epoch: 26, Accuracy: 60.010, Precision: 60.378, Recall: 60.010, F1: 58.929, L_1: 23058, U_1: 26942, L_2: 23240, U_2: 26760
Test Epoch: 27, Accuracy: 60.770, Precision: 61.898, Recall: 60.770, F1: 60.258, L_1: 23128, U_1: 26872, L_2: 22819, U_2: 27181
Test Epoch: 28, Accuracy: 61.660, Precision: 62.042, Recall: 61.660, F1: 60.790, L_1: 22898, U_1: 27102, L_2: 23212, U_2: 26788
Test Epoch: 29, Accuracy: 61.520, Precision: 61.958, Recall: 61.520, F1: 60.761, L_1: 23039, U_1: 26961, L_2: 22970, U_2: 27030
Test Epoch: 30, Accuracy: 61.550, Precision: 61.831, Recall: 61.550, F1: 60.490, L_1: 23073, U_1: 26927, L_2: 23032, U_2: 26968
Test Epoch: 31, Accuracy: 62.360, Precision: 62.437, Recall: 62.360, F1: 61.502, L_1: 23030, U_1: 26970, L_2: 22907, U_2: 27093
Test Epoch: 32, Accuracy: 62.080, Precision: 62.554, Recall: 62.080, F1: 61.059, L_1: 23007, U_1: 26993, L_2: 22969, U_2: 27031
Test Epoch: 33, Accuracy: 62.850, Precision: 62.941, Recall: 62.850, F1: 61.835, L_1: 23019, U_1: 26981, L_2: 22838, U_2: 27162
Test Epoch: 34, Accuracy: 62.860, Precision: 63.419, Recall: 62.860, F1: 62.083, L_1: 22776, U_1: 27224, L_2: 22972, U_2: 27028
Test Epoch: 35, Accuracy: 63.010, Precision: 63.885, Recall: 63.010, F1: 62.171, L_1: 22785, U_1: 27215, L_2: 23109, U_2: 26891
Test Epoch: 36, Accuracy: 62.630, Precision: 63.260, Recall: 62.630, F1: 61.728, L_1: 23010, U_1: 26990, L_2: 22741, U_2: 27259
Test Epoch: 37, Accuracy: 63.460, Precision: 63.844, Recall: 63.460, F1: 62.628, L_1: 22562, U_1: 27438, L_2: 22939, U_2: 27061
Test Epoch: 38, Accuracy: 62.730, Precision: 64.232, Recall: 62.730, F1: 62.237, L_1: 22534, U_1: 27466, L_2: 22940, U_2: 27060
